idx,japones,espanol_oficial,nombre_3ds
212,傘美野グローブ,Guantes Umbrella,G.Umbrel.
213,サリーズグローブ,Guantes Sallys,G.Sallys
214,れきせんのグローブ,Guantes curtidos,G.curtid.
215,せいしゅんグローブ,Guantes juveniles,G.juven.
216,かたみのグローブ,Guantes legados,G.legados
217,ほのおのグローブ,Guantes ígneos,G.ígneos
218,プリティハンド,Guantes cucos,G.cucos
219,イナズマグローブ,Guantes Inazuma,G.Inazuma
220,しょうりのグローブ,Guantes exitosos,G.exitos.
221,ねっけつグローブ,Guantes ardientes,G.ardien.
231,イナビカリグローブ,Guantes Centella,G.Centel.
241,じょうぶなミサンガ,Pulsera recia,P.recia
242,たくましいミサンガ,Pulsera varonil,P.varonil
243,まもりのミサンガ,Pulsera talismán,P.talism.
244,マッスルミサンガ,Pulsera de cachas,P.cachas
245,ファイトミサンガ,Pulsera guerrera,P.guerr.
246,よごれたミサンガ,Pulsera gastada,P.gastada
247,ほのおのミサンガ,Pulsera ígnea,P.ígnea
248,プロテクトミサンガ,Pulsera escolta,P.escolta
249,せいなるミサンガ,Pulsera sacra,P.sacra
250,しあわせのミサンガ,Pulsera jubilosa,P.jubil.
251,せいしゅんミサンガ,Pulsera juvenil,P.juvenil
252,シールドミサンガ,Pulsera escudo,P.escudo
253,しょうりのミサンガ,Pulsera exitosa,P.exitosa
254,イナズマミサンガ,Pulsera Inazuma,P.Inazuma
255,いのちのミサンガ,Pulsera vital,P.vital
256,にんきのミサンガ,Pulsera popular,P.popular
257,きぼうのミサンガ,Pulsera de fe,P.de fe
258,ねっけつミサンガ,Pulsera ardiente,P.ardien.
259,ジミなミサンガ,Pulsera sobria,P.sobria
260,どハデなミサンガ,Pulsera llamativa,P.llamat.
261,ハデなミサンガ,Pulsera chillona,P.chill.
265,ちかいのペンダント,Colgante fraterno,C.frater.
266,ＧＰペンダント銅,Medalla PE bronce,M.PE br.
267,ＧＰペンダント銀,Medalla PE plata,M.PE pl.
268,ＧＰペンダント金,Medalla PE oro,M.PE oro
269,ＴＰペンダント銅,Medalla PT bronce,M.PT br.
270,ＴＰペンダント銀,Medalla PT plata,M.PT pl.
271,ＴＰペンダント金,Medalla PT oro,M.PT oro
291,ダークトルネード,Tornado oscuro,Tor.osc.
292,ぶんしんフェイント,Regate múltiple,Reg.múlt.
293,しっぷうダッシュ,Entrada huracán,E.huracán
294,たつまきせんぷう,Torbellino dragón,Torb.dra.
295,イリュージョンＢＬ,Espejismo de balón,Esp.balón
296,ダッシュアクセル,Acelerón,Acelerón
297,じごくぐるま,Rueda infernal,Rued.inf.
298,ヒートタックル,Corte flamígero,C.flamíg.
299,ジグザグスパーク,Zigzag chispeante,Zigzag
300,たまのりピエロ,Equilibrismo,Equilibr.
301,のろい,Maldición,Maldición
302,スーパーアルマジロ,Superarmadillo,Armadillo
303,どくぎりのじゅつ,Niebla venenosa,Niebla v.
304,Ｓスキャン・ＯＦ,Escáner ataque,Escáner A
305,ごりむちゅう,Confusión,Confusión
306,ブーストグライダー,Potenciación,Potenc.
307,ざんぞう,Espejismo,Espejismo
308,モグラフェイント,Regate topo,Reg.topo
309,カマイタチ,Remolino cortante,Remolino
310,モンキーターン,Giro de mono,Giro mono
311,ヘブンズタイム,Hora celestial,Hora cel.
312,ジャッジスルー,Coz,Coz
313,ダッシュストーム,Entrada tormenta,E.tormen.
314,ムーンサルト,Luna creciente,Luna cre.
315,マジック,Truco de magia,Tr.magia
321,ザ・ウォール,El muro,El muro
322,コロドラシュート,Tiro chispadraco,T.chisp.
323,キラースライド,Barrido defensivo,Barr.def.
324,コイルターン,Giro bobina,Giro bob.
325,アースクェイク,Sismo,Sismo
326,クイックドロウ,Robo rápido,Robo ráp.
327,くものいと,Telaraña,Telaraña
328,サイクロン,Ciclón,Ciclón
329,フェイクボール,Bola falsa,Bol.falsa
330,かげぬい,Ataque sombrío,At.sombr.
331,しこふみ,Pisotón de sumo,Pisotón
332,ホーントレイン,Embestida,Embestida
333,ハリケーンアロー,Flecha huracán,Fl.hurac.
334,スピニングカット,Corte giratorio,C.girat.
335,Ｓスキャン・ＤＦ,Escáner defensa,Escáner D
336,おんりょう,Gravedad,Gravedad
337,ドッペルゲンガー,Doppelgänger,Doppelg.
338,かごめかごめ,Trama,Trama
339,ハーヴェスト,Vendimia,Vendimia
340,さばきのてっつい,Apisonadora,Apisonad.
341,メガクェイク,Mega terremoto,Megaterr.
342,ブレードアタック,Ataque afilado,At.afil.
343,うしろのしょうめん,Sorpresa,Sorpresa
344,ばくれつパンチ,Despeje explosivo,D.explos.
345,マジン・ザ・ハンド,Mano mágica,Mano mág.
346,ほのおのかざみどり,Pájaro de fuego,Páj.fuego
347,イナズマブレイク,Ruptura relámpago,Rupt.rel.
348,ザ・ギャラクシー,Tiro galáctico,T.galáct.
349,皇帝ペンギン２ごう,Pingüino emp. n.º2,Pingüino2
350,ザ・フェニックス,Fénix,Fénix
351,イナズマおとし,Trampolín relámpago,Trampolín
352,ドラゴンクラッシュ,Remate dragón,R.dragón
353,ツインブースト,Remate combinado,R.combin.
354,ファイアトルネード,Tornado de fuego,Tor.fuego
355,ひゃくれつショット,Chut de 100 toques,Chut 100
356,イナズマ１ごう,Súper relámpago,S.relámp.
357,グレネードショット,Chut granada,Ch.gran.
358,デスゾーン,Triángulo letal,Tri.letal
359,ファントムシュート,Tiro fantasma,T.fantas.
360,ホークショット,Remate halcón,R.halcón
361,メテオアタック,Ataque meteorito,At.meteo.
362,スネークショット,Remate serpiente,R.serpie.
363,スピニングシュート,Tiro giratorio,T.girat.
364,すいせいシュート,Tiro del cometa,T.cometa
365,ローリングキック,Disparo rodante,Disp.rod.
366,ぶんしんシュート,Remate múltiple,R.múltip.
367,ダイナマイトＳＨ,Tiro dinamita,T.dinam.
368,パトリオットＳＨ,Remate misil,R.misil
369,スパイラルショット,Remate espiral,R.espiral
370,フリーズショット,Chut congelante,Ch.cong.
371,クロスドライブ,Pase cruzado,Pas.cruz.
372,かみかくし,Rapto divino,Rapt.div.
373,サイコショット,Psicorremate,Psicorr.
374,コンドルダイブ,Ataque cóndor,At.cóndor
375,ラン・ボール・ラン,Balón rodante,Bal.rod.
376,トライアングルＺ,Triángulo Z,Triáng.Z
377,ドこんじょうバット,Bateo total,Bat.total
378,リフレクトバスター,Disparo con rebotes,Disp.reb.
379,クンフーヘッド,Cabezazo kung-fu,C.kung fu
380,シャインドライブ,Tiro cegador,T.cegador
381,ディバインアロー,Flecha divina,Fl.divina
382,バックトルネード,Tornado inverso,Tor.inv.
383,ターザンキック,Remate Tarzán,R.Tarzán
384,ゴッドノウズ,Sabiduría divina,Sabiduría
385,ドラゴントルネード,Tornado dragón,Tor.drag.
386,つちだるま,Bola de fango,Bol.fango
387,つなみウォール,Muralla tsunami,M.tsunami
388,トルネードキャッチ,Atajo tornado,Ataj.tor.
389,ゴッドハンド,Mano celestial,Mano cel.
390,パワーシールド,Escudo de fuerza,Esc.fuer.
391,ねっけつパンチ,Despeje de fuego,D.fuego
392,シュートポケット,Campo de fuerza,Camp.fza.
393,ゆがむくうかん,Espiral distorsión,Esp.dist.
394,カウンターＳＴＲ,Puño vengativo,Puño ven.
395,ゴールずらし,Deslizamiento,Deslizam.
396,トリプルＤＦ,Defensa triple,Def.trip.
397,プレッシャーパンチ,Despeje a presión,D.presión
398,タフネスブロック,Bloque dureza,Bloq.dur.
399,フルパワーシールド,Escudo fuerza total,Esc.f.tot
400,まきわりチョップ,Despeje de leñador,D.leñador
401,つむじ,Torbellino,Torbell.
402,ロケットこぶし,Despeje cohete,D.cohete
403,ワイルドクロー,Garra salvaje,Garr.salv
404,ギガントウォール,Muralla gigante,M.gigante
405,こがらし,Hojarasca,Hojarasca
406,キラーブレード,Cuchilla asesina,Cuchilla
407,むげんのかべ,Muralla infinita,M.infini.
408,イナズマおとし,Trampolín relámpago,Trampolín
409,イナズマブレイク,Ruptura relámpago,Rupt.rel.
450,Ｆ−ベーシック,Diamante,Diamante
451,Ｆ−デスゾーン,Zona muerta,Z.muerta
452,Ｆ−ゴーストダンス,Flecha espectral,Fl.espec.
453,Ｆ−ワイルドパーク,Jungla,Jungla
454,Ｆ−ＧＲＩＤ４４２,Reja,Reja
455,Ｆ−スーパー☆５,Pirámide,Pirámide
456,Ｆ−かくよくのじん,Alas de grulla,A.grulla
457,Ｆ−むげんのかべ,Árbol de Navidad,Á.Navidad
458,Ｆ−ムカタ・マーチ,Ataque trillizo,At.trill.
459,Ｆ−ヘブンズゲート,Puerta al cielo,Pta.cielo
460,Ｆ−ファランクス,Ancla,Ancla
463,Ｆ−バタフライ,Doble W,Doble W
464,Ｆ−ドットプリズン,Doble M,Doble M
466,Ｆ−ボー＆アロー,Pala,Pala
468,Ｆ−ミドルブロック,Autobús,Autobús
469,Ｆ−フェニックス,Vuelo del Fénix,V.Fénix
474,Ｂ−ベーシック,Tirachinas,Tirachin.
475,Ｂ−フラットバック,En línea,En línea
476,Ｂ−アタッカー,Incursión,Incursión
477,Ｂ−ブレイクスルー,Kamikaze,Kamikaze
478,Ｂ−プレッシャー,Cerrojo,Cerrojo
479,Ｂ−スラッシュ,Diagonal,Diagonal
480,Ｂ−ライトウイング,Ala derecha,Ala dcha.
481,Ｂ−トレイン,Torre,Torre
482,Ｂ−トライアングル,Pachanga total,Pach.tot.
483,Ｂ−ランス,Lanza,Lanza
511,テストシューズ,Botas milagrosas,B.milagr.
