event_id,japones,es_oficial
10010020,\べ　%1F別にあなたのために\nやっているわけじゃないのだから！\nかんちがいしないでよね！,¡Que sepas que no lo hago por ti!\nNo te pienses cosas que no son.
10010020,`オレを%1F引き%1F抜くとは\nおまえ　%1F見る%1F目があるな。\nさあ　オレを%2F入部させなよ。,"Veo que tienes buen ojo, como\nhas demostrado al venir a por mí.\nVenga, fíchame para tu equipo."
10010020,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010021,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010021,8%1F彼なら\n%2F裏門の%1F近くに\n%1F呼んでいるわ。,Le he dicho que se quede\ncerca de la puerta trasera\ndel instituto.
10010021,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010021,Tオレを%1F引き%1F抜く…\nおまえ　%1F見る%1F目ある。\nオレ　%2F入部してやる。,"¡Tú sí que sabes!\nQuieres ficharme, ¿verdad?"
10010021,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010022,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010022,8%1F彼なら\n%2F裏門の%1F近くに\n%1F呼んでいるわ。,Le he dicho que se quede\ncerca de la puerta trasera\ndel instituto.
10010022,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010022,Dまさか　ここに%2F転校するとはな。\nまあ　%2F入部してやるよ。,"Mira que acabar en este\ninstituto... Bueno, ya que\nestoy aquí, ¿quieres jugar?"
10010022,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010023,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010023,8%1F彼なら\n%3F駐車場の%1F近くに\n%1F呼んでいるわ。,Le he dicho que te espere\npor el aparcamiento.
10010023,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010023,dおい　サッカー%1F部ってここだろ？\nちゃんと　%1F来てやったぜ。\nさあ　オレを%2F入部させな。,¿Es este el club de fútbol?\nAquí me tenéis. Dejadme jugar\ncon vosotros.
10010023,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010024,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010024,8%1F彼なら\nプールの%1F近くに\n%1F呼んでいるわ。,Le he dicho que te espere\ncerca de la piscina.
10010024,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010024,\%1F負けた%2F学校に　%1F入るのはイヤだけど\n%2F今回は　トクベツに\n%1F入ってやるよ。,"No me hace gracia tener que jugar\nen un equipo de perdedores, pero...\nsi insistes, me uniré a vosotros."
10010024,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010025,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010025,8%1F彼なら\n%3F焼却炉の%1F近くに\n%1F呼んでいるわ。,Le he dicho que se quede\npor donde está la incineradora.
10010025,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010025,Pサッカーより%2F大事なことがあるけど\n%2F仕方ない！\n%1F力をかしましょう！,"Tengo que hacer cosas más importantes\nque jugar al fútbol, pero bueno...\n¿Quieres que te eche un cable?"
10010025,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010026,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010026,<%1F彼なら\nウサギ%2F小屋の%1F近くに\n%1F呼んでいるわ。,Le he dicho que se quede cerca\ndel corral de las gallinas.
10010026,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010026,T%2F転校するのは　めんどくさいけど\nせっかくさそわれたし\n%1F入ってあげようか？,"Me da palo tener que cambiarme\nde instituto, pero ya que me lo\nhabéis pedido, aceptaré, ¿vale?"
10010026,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010027,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010027,4%1F彼なら\nプールサイドに　%1F呼んでいるわ。,Está esperándote junto\na la piscina.
10010027,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010027,Pオレは%2F優勝したくて%1F来たんだ。\nここなら　%2F優勝させてくれるんだろ？,¡Hola! ¿Mark?
10010028,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010028,8%1F彼なら\n%3F体育館の%1F近くに\n%1F呼んでいるわ。,Le he dicho que no se mueva\nde la zona del gimnasio.
10010028,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010028,Xオレの%1F技は　%1F弱い%2F学校にはいらない。\nだから　%2F雷門に%1F入ってやるよ。,He venido al Raimon porque mi\njuego solo encaja en vuestro\nequipo. ¿Te parece bien?
10010028,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010029,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010029,8%1F彼なら\n%3F体育館の%1F近くに\n%1F呼んでいるわ。,Le he dicho que no se mueva\nde la zona del gimnasio.
10010029,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010029,Pオレの%1F強さは　この%1F前%1F見ただろ？\nさあ　オレを%1F引き%1F抜きな！,"Ya has visto lo que valgo, ¿no?\n¿A qué esperas para ficharme?"
10010029,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010030,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010030,<%1F彼なら\n%4F体育倉庫の%1F近くに\n%1F呼んでいるわ。,Está cerca del almacén del\ngimnasio.\n
10010030,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010030,\オレを%1F引き%1F抜きたいのか？\nオレは　%1F前がよく%1F見えないが\nそれでもいいのか？,"Que sepas que no veo muy bien,\npero si eso no te importa...\n¿Aun así quieres ficharme?"
10010030,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010031,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010031,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010031,<%1F彼なら\n%4F体育倉庫の%1F近くに\n%1F呼んでいるわ。,Está cerca del almacén del\ngimnasio.\n
10010031,`オレがこんな%2F学校に%1F来るなんて…\nこうなったら　このチームで\n%2F優勝するしかないな！,"¡Conmigo en el equipo,\nno vamos a perder nunca!\n¿Estás de acuerdo?"
10010031,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010032,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010032,0%1F彼なら\n%3F住宅街に\n%1F呼んでいるわ。,Le he dicho que quede contigo\nen el barrio residencial.
10010032,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010032,\%2F試合にも%1F出ていない\nオレを%1F引き%1F抜いてくれるなんて…\nおまえ　いいヤツだな！,¡Qué majo eres! ¿Seguro que quieres\nfichar a alguien que no sabe lo\nque es jugar un partido?
10010032,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010033,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010033,0%1F彼なら\n%3F住宅街に\n%1F呼んでいるわ。,Le he dicho que quede contigo\nen el barrio residencial.
10010033,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010033,dおっす！　%1F久しぶり！\n%1F早くこの%1F町のくらしに　なれるように\nがんばるから　よろしくね！,¡Buenas! ¡Cuánto tiempo!\n¿Me ayudarás a adaptarme\na la vida en esta ciudad?
10010033,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010034,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010034,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010034,@%1F彼なら\n%3F商店街のレンガの%2F広場に\n%1F呼んでいるわ。,Está esperándote por la plaza\nde adoquines que hay en el\nbarrio de tiendas.
10010034,\%1F遅いっ！\nオレがほしいなら　さっさと%1F来い！\nそして　さっさと%1F引き%1F抜けよ！,"¡Llegas tarde! ¡Que sepas que\nno me gusta nada esperar!\nVamos, ¡fíchame rápido!"
10010034,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010035,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010035,@%1F彼なら\n%3F商店街のレンガの%2F広場に\n%1F呼んでいるわ。,Está esperándote por la plaza\nde adoquines que hay en el\nbarrio de tiendas.
10010035,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010035,`オレのこの%1F技…\n%1F次は　おまえたちのために%1F使ってやる。\nさあ　オレを%2F仲間にしろ。,La próxima vez que utilice\nmis técnicas será en vuestro\nfavor. Acéptame en tu equipo.
10010035,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010036,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010036,@%1F彼なら\n%3F商店街のレンガの%2F広場に\n%1F呼んでいるわ。,Está esperándote por la plaza\nde adoquines que hay en el\nbarrio de tiendas.
10010036,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010036,\オレを%1F引き%1F抜くとは　いい%2F度胸だな。\nその%2F度胸にめんじて\n%1F入ってやるよ。,"Tienes valor viniendo a por mí.\nMereces que juegue en tu equipo.\nTe parece bien, ¿no?"
10010036,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010037,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010037,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010037,D%1F彼なら\n%3F商店街アーケードのわき%1F道に\n%1F呼んでいるわ。,Le he dicho que te espere en\nel callejón de la calle peatonal.
10010037,d%1F来るのが%1F遅いっ！\nもう　%1F来ないかと%1F思ったよ…。\nさあ　%1F早く%1F引き%1F抜いて！,"¡Has tardado mucho! Pensaba que\nya no vendrías... ¡Vamos,\nfíchame rápido!"
10010037,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010038,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010038,D%1F彼なら\n%3F商店街アーケードのわき%1F道に\n%1F呼んでいるわ。,Le he dicho que te espere en\nel callejón de la calle peatonal.
10010038,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010038,`ふぅー　やっと%1F来たか。\n%1F待ちくたびれたよ。\nじゃあ　%1F早く%1F引き%1F抜いてくれよ。,"¡Por fin has venido! Ya me estaban\nempezando a salir telarañas.\nVenga, fíchame ya."
10010038,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010039,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010039,8%1F彼なら\n%2F鉄塔の%1F近くに\n%1F呼んでいるわ。,Le he dicho que te espere\ncerca de la torre.
10010039,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010039,dぐふふっ…　オレがほしいとは\nおまえ　ヘンなヤツだな。\n%1F気にいったから　%1F入ってやるよ。,"Ju, ju... Eres muy raro. No sé\npor qué puedo interesarte...\nPero me caes bien, jugaré contigo."
10010039,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010040,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010040,8%1F彼なら\n%2F鉄塔の%1F近くに\n%1F呼んでいるわ。,Le he dicho que te espere\ncerca de la torre.
10010040,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010040,\………………………………………\n…オレがほしいんだろ？\n%1F早く　%1F引き%1F抜けよ！,"Vamos, ¿a qué esperas?\nQuieres ficharme, ¿verdad?"
10010040,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010041,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010041,8%1F彼なら\n%2F鉄塔の%1F近くに\n%1F呼んでいるわ。,Le he dicho que te espere\ncerca de la torre.
10010041,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010041,\なかなか%1F来ないから\n%2F場所を%2F間違えたかと%1F思ったぜ。\nそれじゃあ　よろしくな！,"Empezaba a pensar que te habías\nequivocado de sitio. ¡Bueno,\naquí me tienes! ¿Me aceptas?"
10010041,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010042,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010042,8%1F彼なら\n%2F鉄塔の%1F近くに\n%1F呼んでいるわ。,Le he dicho que te espere\ncerca de la torre.
10010042,Hオレが%1F入るからには\n%1F負けは%1F許さないからな。\nわかったな？,Te advierto que no me gusta perder.\n¿Quieres que me una a tu equipo\nde todas formas?
10010042,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010042,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010043,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010043,8%1F彼なら\n%3F野球場の%1F近くに\n%1F呼んでいるわ。,Te está esperando cerca\ndel campo de béisbol.
10010043,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,"Ya que me has hecho llamarle a\nposta, tienes que ficharle, ¿eh?"
10010043,Tオレを%1F引き%1F抜きに%1F来たんだろ？\nだったら　さっさと%1F引き%1F抜けよ。,"Has venido a tentarme para que\nentre en tu equipo, ¿verdad?\nPues ya tardas en ficharme."
10010043,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010044,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010044,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.
10010044,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio."
10010044,Xオレを%1F引き%1F抜くとは\nおまえ　%1F見る%1F目があるぜ。\nこれから　よろしくな。,Venir a por mí demuestra\nel buen gusto que tienes.\n¿Quieres que me una a tu equipo?
10010044,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010045,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010045,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.
10010045,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte."
10010045,Xふんっ！\nオレが　%2F雷門に%1F入るとはな。\nまあ　いいだろう。　%1F入ってやるよ。,"¡Ja! Yo jugando en el Raimon...\nBueno, cosas más raras se han\nvisto. ¿Me hacéis un hueco?"
10010045,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?
10010046,%s\nが%2F仲間になった！,¡%s se te ha unido!
10010046,8%1F彼なら\n%2F鉄塔の%1F近くに\n%1F呼んでいるわ。,Le he dicho que te espere\ncerca de la torre.
